,preds,labels
0,21.736879348754883,21.9
1,21.828582763671875,21.5
2,20.739595413208008,20.6
3,22.627460479736328,22.5
4,21.987871170043945,22.0
5,23.036319732666016,22.9
6,22.194395065307617,22.2
7,21.666440963745117,21.3
8,20.577457427978516,20.2
9,21.603120803833008,21.4
10,20.054780960083008,20.0
11,22.476394653320312,22.4
12,19.891820907592773,20.0
13,22.379972457885742,22.4
14,19.337121963500977,19.5
15,21.95135498046875,22.0
16,18.419160842895508,18.6
17,20.049442291259766,20.0
18,21.146455764770508,21.4
19,21.883466720581055,21.8
20,18.58547592163086,18.4
21,20.788570404052734,20.8
22,22.208919525146484,22.2
23,22.195898056030273,22.1
24,21.724950790405273,21.6
25,21.969533920288086,21.8
26,20.913311004638672,20.7
27,21.913944244384766,21.7
28,20.6663818359375,20.6
29,21.616952896118164,21.4
30,22.197763442993164,22.2
31,20.27442169189453,20.1
32,20.163461685180664,19.8
33,19.94148826599121,19.9
34,20.912338256835938,20.8
35,22.256418228149414,22.2
36,19.73052406311035,19.7
37,22.512561798095703,22.6
38,19.052143096923828,19.2
39,19.983991622924805,19.8
40,20.31427764892578,20.6
41,18.92576026916504,18.9
42,20.517581939697266,20.5
43,20.548643112182617,20.6
44,21.220060348510742,21.1
45,20.22393798828125,20.2
46,21.144481658935547,21.0
47,21.025606155395508,21.0
48,20.56966781616211,20.4
49,20.63736343383789,20.5
50,19.899526596069336,19.8
51,20.429031372070312,20.3
52,17.590543746948242,17.6
53,18.654220581054688,18.6
54,18.815616607666016,18.9
55,20.432634353637695,20.3
56,20.438140869140625,20.5
57,21.646562576293945,21.6
58,20.892499923706055,20.9
59,20.729389190673828,20.5
60,21.57301902770996,21.5
61,20.174772262573242,20.1
62,19.503814697265625,19.2
63,20.22673988342285,20.2
64,21.583608627319336,21.5
65,18.986465454101562,19.0
66,20.441600799560547,20.4
67,20.10171890258789,20.2
68,21.235488891601562,21.1
69,19.37337303161621,19.4
70,19.210634231567383,19.0
71,19.25945472717285,19.3
72,20.275054931640625,20.2
73,19.679899215698242,19.7
74,20.438793182373047,20.4
75,20.07059669494629,20.1
76,19.30388069152832,19.2
77,20.03316879272461,20.0
78,18.55890655517578,18.6
79,20.549020767211914,20.5
80,19.40750503540039,19.5
81,20.104372024536133,20.0
82,19.897918701171875,20.0
83,21.08514976501465,21.0
84,20.500776290893555,20.5
85,19.870227813720703,19.7
86,21.338518142700195,21.3
87,21.320022583007812,21.3
88,21.366802215576172,21.2
89,20.156312942504883,20.0
90,20.98659896850586,20.8
91,20.040340423583984,20.0
92,20.175134658813477,20.0
93,19.42167091369629,19.4
94,21.480981826782227,21.4
95,19.941184997558594,20.0
96,20.28705406188965,20.1
97,18.362428665161133,18.4
98,20.297473907470703,20.2
99,19.9771785736084,20.0
100,20.298431396484375,20.2
101,20.05340003967285,20.1
102,20.37360954284668,20.3
103,20.346189498901367,20.3
104,20.377676010131836,20.3
105,21.459537506103516,21.4
106,20.329757690429688,20.3
107,20.035436630249023,19.8
108,20.830398559570312,20.8
109,20.44619369506836,20.4
110,19.460317611694336,19.3
111,20.931005477905273,20.9
112,19.77691650390625,19.8
113,20.636810302734375,20.5
114,20.141992568969727,20.2
115,20.625608444213867,20.5
116,20.532583236694336,20.5
117,20.30527687072754,20.2
118,20.49107551574707,20.4
119,21.062969207763672,21.0
120,20.072355270385742,20.0
121,21.501873016357422,21.4
122,19.980558395385742,20.0
123,20.328533172607422,20.1
124,19.985870361328125,20.0
125,21.506629943847656,21.4
126,20.903409957885742,20.9
127,19.744075775146484,19.5
128,17.630146026611328,17.4
129,18.861820220947266,18.8
130,19.07618522644043,19.0
131,19.764480590820312,19.7
132,19.170808792114258,19.3
133,19.80051612854004,19.8
134,19.033384323120117,19.1
135,19.337188720703125,19.3
136,18.22014045715332,18.3
137,18.91651725769043,18.9
138,19.14126205444336,19.2
139,20.348379135131836,20.3
140,19.941720962524414,20.0
141,19.547876358032227,19.5
142,18.405166625976562,18.4
143,18.526979446411133,18.5
144,18.569005966186523,18.6
145,19.532527923583984,19.5
146,16.69770050048828,16.9
147,17.802099227905273,17.9
148,18.29294776916504,18.4
149,18.65467643737793,18.6
150,14.89054012298584,15.2
151,16.26373863220215,16.4
152,17.449296951293945,17.4
153,16.008644104003906,16.0
154,18.701637268066406,18.8
155,18.984140396118164,18.9
156,16.350751876831055,16.5
157,16.880577087402344,17.2
158,17.3609619140625,17.4
159,16.810884475708008,16.8
160,16.44283676147461,16.6
161,16.52120590209961,16.6
162,17.231294631958008,17.2
163,14.939253807067871,15.1
164,15.286102294921875,15.3
165,14.524182319641113,14.5
166,18.044851303100586,17.6
167,15.539047241210938,15.4
168,15.589224815368652,15.6
169,17.567203521728516,17.9
170,18.299949645996094,18.1
171,15.220480918884277,15.5
172,14.712987899780273,15.0
173,15.133794784545898,15.1
174,15.71578598022461,15.4
175,16.8609561920166,16.7
176,14.4291410446167,14.5
177,16.262958526611328,16.2
178,16.506086349487305,16.5
179,16.182710647583008,16.1
180,14.879891395568848,15.1
181,13.59496784210205,13.6
182,15.516959190368652,15.2
183,15.714946746826172,15.5
184,15.75794792175293,15.6
185,16.216402053833008,16.3
186,15.459687232971191,15.5
187,14.986037254333496,15.0
188,16.545461654663086,16.5
189,16.42191505432129,16.3
190,16.086206436157227,16.1
191,16.354358673095703,16.5
192,15.136028289794922,15.2
193,14.51828670501709,14.5
194,16.615217208862305,16.5
