,preds,labels
10,1017.9021606445312,1017.9
11,1017.7091674804688,1017.7999999999998
12,1017.2072143554688,1017.2
13,1015.8876342773438,1015.9
14,1018.1726684570312,1018.2
15,1017.8937377929688,1017.7999999999998
16,1016.1287231445312,1016.2
17,1015.6575317382812,1015.7
18,1015.3915405273438,1015.5
19,1017.3519287109375,1017.3999999999999
20,1017.7262573242188,1017.7000000000002
21,1018.276611328125,1018.4
22,1019.0630493164062,1019.0
23,1016.8141479492188,1016.8
24,1016.8475952148438,1016.8
25,1017.5165405273438,1017.6
26,1018.69677734375,1018.7
27,1019.087646484375,1019.1
28,1018.9277954101562,1018.9
29,1018.0773315429688,1018.0
30,1016.3742065429688,1016.4
31,1016.997802734375,1017.1
32,1017.8682250976562,1017.9
33,1016.5592041015625,1016.6000000000001
34,1017.2196655273438,1017.2
35,1017.6318359375,1017.6
36,1016.8746948242188,1016.9
37,1019.0459594726562,1019.0
38,1018.0921020507812,1018.0
39,1017.546875,1017.5
40,1018.0376586914062,1018.0
41,1017.68310546875,1017.7000000000002
42,1020.0556030273438,1020.0
43,1018.6659545898438,1018.6
44,1020.135986328125,1020.0
45,1020.4634399414062,1020.2999999999998
46,1018.3035278320312,1018.3
47,1017.9136352539062,1017.7999999999998
48,1019.0985107421875,1019.2
49,1021.226318359375,1021.3
50,1019.3489379882812,1019.5000000000001
51,1017.6363525390625,1017.3
52,1018.8649291992188,1019.0
53,1019.5048828125,1019.6
54,1018.0283813476562,1018.0999999999999
55,1015.8578491210938,1015.8
56,1017.4239501953125,1017.6
57,1016.7697143554688,1016.8
58,1015.3585815429688,1015.4
59,1016.5399169921875,1016.6000000000001
60,1015.4647216796875,1015.4
61,1013.7285766601562,1013.7
62,1014.254638671875,1014.2
63,1017.2863159179688,1017.5
64,1017.9442138671875,1018.2
65,1014.8538208007812,1015.2999999999998
66,1017.1937866210938,1017.2
67,1018.5524291992188,1018.5
68,1018.1434936523438,1018.3
69,1017.6206665039062,1017.6
70,1017.9442138671875,1017.9
71,1017.392333984375,1017.3999999999999
72,1018.32470703125,1018.3
73,1017.3351440429688,1017.3
74,1016.3033447265625,1016.3000000000001
75,1017.9703369140625,1018.0
76,1020.060791015625,1020.0
77,1016.659423828125,1016.8
78,1016.4874877929688,1016.3000000000001
79,1016.0759887695312,1016.3000000000001
80,1016.4344482421875,1016.5
81,1017.2906494140625,1017.3
82,1018.2045288085938,1018.2
83,1015.3839111328125,1015.4
84,1017.353759765625,1017.3
85,1018.0732421875,1018.0
86,1019.1017456054688,1019.2
87,1017.7349853515625,1017.7000000000002
88,1016.6709594726562,1016.6000000000001
89,1018.4498291015625,1018.5
90,1019.1270751953125,1019.1
91,1016.9259033203125,1017.0000000000001
92,1017.786865234375,1017.7000000000002
93,1019.324951171875,1019.3
94,1018.5221557617188,1018.6
95,1018.5789184570312,1018.5
96,1018.7732543945312,1018.7
97,1019.5079956054688,1019.5000000000001
98,1016.8151245117188,1016.8
99,1016.6744384765625,1016.6000000000001
100,1016.2162475585938,1016.4
101,1017.569091796875,1017.6
102,1017.6297607421875,1017.6
103,1016.4628295898438,1016.5
104,1018.0226440429688,1018.0
105,1018.166015625,1018.0999999999999
106,1018.5773315429688,1018.6
107,1018.6751708984375,1018.6
108,1017.8320922851562,1017.7999999999998
109,1017.7295532226562,1017.7000000000002
110,1018.405029296875,1018.4
111,1018.5089721679688,1018.5
112,1019.5380859375,1019.5000000000001
113,1019.1541748046875,1019.1
114,1017.265625,1017.2
115,1017.1751098632812,1017.2
116,1018.4205322265625,1018.5
117,1019.1871337890625,1019.2
118,1017.980224609375,1018.0
119,1018.2988891601562,1018.2
120,1016.468017578125,1016.5
121,1017.6080932617188,1017.6
122,1016.7169189453125,1016.7
123,1017.4107666015625,1017.3999999999999
124,1018.0584106445312,1018.0
125,1018.1893310546875,1018.2
126,1017.5236206054688,1017.5
127,1016.0948486328125,1016.1
128,1016.8353271484375,1016.9
129,1016.6878662109375,1016.7
130,1016.5714111328125,1016.6000000000001
131,1017.6077270507812,1017.6
132,1017.7229614257812,1017.7000000000002
133,1017.484619140625,1017.5
134,1017.4288940429688,1017.3999999999999
135,1018.124267578125,1018.0999999999999
136,1018.7340087890625,1018.7
137,1018.0068969726562,1018.0
138,1017.8566284179688,1017.7999999999998
139,1019.0411376953125,1019.0
140,1020.0137939453125,1020.0
141,1020.2421875,1020.2999999999998
142,1019.87841796875,1019.8
143,1019.114990234375,1019.0
144,1019.0027465820312,1019.0
145,1018.9541015625,1019.0
146,1018.9923095703125,1019.0
147,1018.4280395507812,1018.4
148,1017.9205932617188,1017.9
149,1017.576416015625,1017.6
150,1017.4711303710938,1017.5
151,1018.0049438476562,1018.0
152,1017.10400390625,1017.1
153,1016.9080200195312,1016.9
154,1017.2894287109375,1017.3
155,1017.2965698242188,1017.3
156,1017.808837890625,1017.7999999999998
157,1018.3370361328125,1018.3
158,1018.1162719726562,1018.0999999999999
159,1016.9212646484375,1016.9
160,1016.47265625,1016.5
161,1017.0365600585938,1017.1
162,1018.5119018554688,1018.5
163,1018.1826782226562,1018.2
164,1019.3331909179688,1019.3
165,1019.8958129882812,1019.8
166,1021.5325927734375,1021.6
167,1021.6944580078125,1021.8
168,1021.5526733398438,1021.6
169,1019.1524047851562,1018.8
170,1018.0882568359375,1018.0
171,1017.4413452148438,1017.7999999999998
172,1019.4885864257812,1019.6
173,1019.0961303710938,1019.1
174,1020.148681640625,1020.1
175,1019.6196899414062,1019.5000000000001
176,1019.3645629882812,1019.3
177,1016.0061645507812,1016.0
178,1015.9942016601562,1016.1
179,1019.092529296875,1019.3
180,1020.2471923828125,1020.2999999999998
181,1020.3848876953125,1020.7
182,1021.5775756835938,1021.5
183,1019.7102661132812,1019.6
184,1018.244873046875,1018.0
185,1019.92724609375,1020.1
186,1020.1680908203125,1020.2999999999998
187,1020.4071655273438,1020.5
188,1020.7166137695312,1020.5999999999999
189,1020.5962524414062,1020.5999999999999
190,1020.6884765625,1020.7
191,1019.1558837890625,1019.1
192,1019.4531860351562,1019.4
193,1019.430419921875,1019.5000000000001
194,1021.0945434570312,1021.2
